rating,reviews,installs
4.1,159,"10,000+"
3.9,967,"500,000+"
4.7,87510,"5,000,000+"
4.5,215644,"50,000,000+"
4.3,967,"100,000+"
4.4,167,"50,000+"
3.8,178,"50,000+"
4.1,36815,"1,000,000+"
4.4,13791,"1,000,000+"
4.7,121,"10,000+"
4.4,13880,"1,000,000+"
4.4,8788,"1,000,000+"
4.2,44829,"10,000,000+"
4.6,4326,"100,000+"
4.4,1518,"100,000+"
4.7,3632,"500,000+"
4.5,27,"10,000+"
4.3,194216,"5,000,000+"
4.6,224399,"10,000,000+"
4.0,450,"100,000+"
4.1,654,"100,000+"
4.7,7699,"500,000+"
4.7,118,"50,000+"
4.8,192,"10,000+"
4.7,20260,"500,000+"
4.1,203,"100,000+"
3.9,136,"10,000+"
4.1,223,"100,000+"
4.2,1120,"100,000+"
4.1,227,"50,000+"
4.5,5035,"100,000+"
4.2,1015,"100,000+"
4.7,353,"10,000+"
3.8,564,"100,000+"
4.7,8145,"500,000+"
4.1,36639,"5,000,000+"
4.7,158,"10,000+"
4.0,591,"500,000+"
4.2,117,"10,000+"
4.5,176,"100,000+"
4.4,295221,"10,000,000+"
3.8,2206,"100,000+"
4.2,26,"10,000+"
4.7,174531,"10,000,000+"
4.6,1070,"100,000+"
4.2,85,"100,000+"
4.3,845,"100,000+"
4.2,367,"100,000+"
4.0,1598,"1,000,000+"
3.8,284,"100,000+"
4.6,17057,"1,000,000+"
3.9,129,"100,000+"
4.3,542,"100,000+"
4.9,10479,"100,000+"
4.4,805,"50,000+"
4.2,129,"100,000+"
4.0,1403,"100,000+"
3.9,3971,"100,000+"
4.6,534,"10,000+"
4.9,7774,"100,000+"
4.3,38846,"1,000,000+"
4.6,2431,"100,000+"
4.9,6090,"100,000+"
3.9,295,"10,000+"
4.0,190,"50,000+"
4.3,40211,"5,000,000+"
3.9,356,"100,000+"
4.2,52530,"5,000,000+"
4.8,116986,"5,000,000+"
3.6,1379,"500,000+"
4.2,271920,"10,000,000+"
4.8,736,"100,000+"
4.8,7021,"500,000+"
4.6,197,"50,000+"
4.5,737,"100,000+"
4.3,3574,"1,000,000+"
4.5,994,"100,000+"
4.9,197136,"1,000,000+"
3.9,142,"50,000+"
4.4,15168,"1,000,000+"
4.0,2155,"500,000+"
4.3,138,"100,000+"
3.7,5414,"1,000,000+"
4.4,21777,"1,000,000+"
4.3,348,"100,000+"
3.2,250,"100,000+"
4.6,13372,"1,000,000+"
4.6,7880,"100,000+"
4.5,3617,"100,000+"
3.7,4806,"1,000,000+"
4.6,65786,"1,000,000+"
4.6,31433,"1,000,000+"
4.6,5097,"1,000,000+"
4.0,1754,"500,000+"
4.4,2680,"500,000+"
4.0,1288,"100,000+"
4.7,18900,"500,000+"
4.9,49790,"1,000,000+"
4.7,1150,"100,000+"
3.9,1739,"500,000+"
3.9,32090,"1,000,000+"
4.2,2225,"500,000+"
4.6,4369,"100,000+"
